英文,中文,英文例句,中文例句
data,資料,We need to collect more data.,我們需要收集更多資料。
information,資訊,Please provide more information.,請提供更多資訊。
communication,溝通,Good communication is essential.,良好的溝通是必要的。
email,電子郵件,Please send me an email.,請寄電子郵件給我。
phone,電話,Please call me tomorrow.,請明天打電話給我。
conference call,電話會議,We have a conference call at 3 PM.,我們下午3點有電話會議。
presentation,簡報,The presentation was very informative.,這個簡報很有資訊性。
training,培訓,New employees need training.,新員工需要培訓。
workshop,工作坊,We attended a workshop last week.,我們上週參加了一個工作坊。
seminar,研討會,The seminar was very useful.,這個研討會很有用。
conference,會議,The conference was well-organized.,這個會議組織得很好。
exhibition,展覽,We will attend the trade exhibition.,我們將參加貿易展覽。
trade show,商展,The trade show was very successful.,這個商展很成功。
networking,人脈建立,Networking is important for business.,人脈建立對商業很重要。
relationship,關係,We have a good relationship with clients.,我們與客戶有良好的關係。
partnership,合作關係,The partnership is mutually beneficial.,這個合作關係對雙方都有利。
collaboration,合作,Collaboration leads to better results.,合作帶來更好的結果。
cooperation,合作,Thank you for your cooperation.,謝謝你的合作。
support,支持,We appreciate your support.,我們感謝你的支持。
assistance,協助,Thank you for your assistance.,謝謝你的協助。
help,幫助,Can you help me with this project?,你能幫我處理這個專案嗎？
guidance,指導,Thank you for your guidance.,謝謝你的指導。
advice,建議,Your advice was very helpful.,你的建議很有幫助。
recommendation,推薦,Thank you for the recommendation.,謝謝你的推薦。
reference,推薦人,Please provide three references.,請提供三位推薦人。
endorsement,背書,The product received many endorsements.,這個產品獲得許多背書。
approval,批准,We need your approval for this project.,我們需要你批准這個專案。
permission,許可,Do you have permission to access this file?,你有權限存取這個檔案嗎？
authorization,授權,You need authorization to enter this area.,你需要授權才能進入這個區域。
license,執照,Do you have a business license?,你有營業執照嗎？
certificate,證書,Please show your certificate.,請出示你的證書。
document,文件,Please sign this document.,請簽署這份文件。
contract,合約,The contract is ready for signing.,合約準備好可以簽署了。
agreement,協議,We reached an agreement yesterday.,我們昨天達成協議。
terms,條款,Please review the terms and conditions.,請查看條款和條件。
conditions,條件,What are the conditions of the deal?,這筆交易的條件是什麼？
policy,政策,Please follow company policy.,請遵循公司政策。
procedure,程序,Follow the correct procedure.,遵循正確的程序。
process,流程,The process is very efficient.,這個流程很有效率。
system,系統,The new system is working well.,新系統運作良好。
technology,科技,Technology is advancing rapidly.,科技快速進步。
software,軟體,We need to update the software.,我們需要更新軟體。
hardware,硬體,The hardware needs maintenance.,硬體需要維護。
database,資料庫,The database contains important information.,資料庫包含重要資訊。
website,網站,Our website is user-friendly.,我們的網站對使用者友善。
online,線上,We do most of our business online.,我們大部分業務都在線上進行。
digital,數位的,We are moving to digital systems.,我們正在轉向數位系統。
automation,自動化,Automation improves efficiency.,自動化提高效率。
efficiency,效率,We need to improve efficiency.,我們需要提高效率。
productivity,生產力,Productivity has increased.,生產力提高了。
performance,表現,Performance has improved.,表現有所改善。
quality,品質,Quality is our priority.,品質是我們的重點。
standard,標準,We maintain high standards.,我們維持高標準。
compliance,合規,We ensure compliance with regulations.,我們確保符合法規。
regulation,法規,Please follow all regulations.,請遵循所有法規。
law,法律,We must comply with the law.,我們必須遵守法律。
legal,法律的,Please consult with legal department.,請諮詢法務部門。
liability,責任,What is our liability in this case?,我們在這個案例中的責任是什麼？
insurance,保險,We have comprehensive insurance.,我們有全面的保險。
security,安全,Security is very important.,安全非常重要。
privacy,隱私,We protect customer privacy.,我們保護客戶隱私。
confidential,機密的,This information is confidential.,這項資訊是機密的。
secret,秘密,Keep this information secret.,保持這項資訊的秘密。
public,公開的,This is public information.,這是公開資訊。
private,私人的,This is private information.,這是私人資訊。
internal,內部的,This is for internal use only.,這僅供內部使用。
external,外部的,We work with external consultants.,我們與外部顧問合作。
global,全球的,We have a global presence.,我們在全球都有據點。
international,國際的,We have international clients.,我們有國際客戶。
local,當地的,We support local businesses.,我們支持當地企業。
regional,區域的,We have regional offices.,我們有區域辦公室。
national,全國的,We have national coverage.,我們有全國覆蓋。
worldwide,全球的,We have worldwide operations.,我們有全球業務。 
