單字,翻譯,英文例句,中文例句
adopt,採用、領養,The company adopted a new strategy.,公司採用了新的策略。
adult,成年人,Only adults are allowed to enter this bar.,只有成年人能進入這間酒吧。
advance,前進、進步,Technology continues to advance rapidly.,科技持續快速進步。
advanced,先進的、高級的,She is taking an advanced English course.,她正在修讀高級英文課程。
advantage,優勢,Flexibility is the main advantage of remote work.,彈性是遠距工作的主要優勢。
adventure,冒險,They went on an exciting adventure in Africa.,他們在非洲展開了一場刺激的冒險。
advertise,登廣告,The company advertised its new product on TV.,公司在電視上為新產品打廣告。
advertisement,廣告,The advertisement attracted many new customers.,這則廣告吸引了許多新顧客。
advertising,廣告業,She works in the advertising industry.,她在廣告業工作。
advice,建議,He gave me some useful career advice.,他給了我一些有用的職涯建議。
advisable,明智的,It is advisable to save money for emergencies.,存錢以備不時之需是明智的。
advocate,提倡者、擁護者,She is an advocate for environmental protection.,她是環保的擁護者。
affect,影響,The weather can affect our travel plans.,天氣可能會影響我們的旅行計畫。
affection,喜愛、感情,He has great affection for his hometown.,他對家鄉有深厚的感情。
afford,負擔得起,We cannot afford to waste time right now.,我們現在浪費不起時間。
affordable,負擔得起的,This restaurant offers affordable meals.,這家餐廳提供平價的餐點。
agency,代理機構,She works for a travel agency.,她在一家旅行社工作。
agenda,議程,The first item on the agenda is the budget.,議程的第一項是預算。
aggressive,積極的、侵略性的,The company took an aggressive marketing approach.,公司採取了積極的行銷方式。
agree,同意,They agreed to sign the contract.,他們同意簽署合約。
agreement,協議,Both parties reached an agreement yesterday.,雙方昨天達成了協議。
agricultural,農業的,The country’s economy relies on agricultural exports.,這個國家的經濟依賴農業出口。
aid,幫助、援助,The organization provided medical aid to refugees.,該組織向難民提供了醫療援助。
aim,目標、瞄準,His main aim is to become a manager.,他的主要目標是成為經理。
air,空氣、空中,Fresh air is important for good health.,新鮮空氣對健康很重要。
aircraft,飛機,The aircraft landed safely despite the storm.,儘管有暴風雨，飛機仍安全降落。
airline,航空公司,He works for a major international airline.,他在一家國際航空公司工作。
airport,機場,We arrived at the airport two hours early.,我們提早兩小時到達機場。
alarm,警報、鬧鐘,The fire alarm went off during the meeting.,會議中火警警報響起。
allocate,分配,The manager allocated tasks to each team member.,經理將任務分配給每個團隊成員。
allocation,分配、配置,The budget allocation was approved by the board.,預算分配已獲董事會批准。
allow,允許,Smoking is not allowed in the building.,這棟大樓內禁止吸菸。
allowance,津貼,Employees receive a travel allowance.,員工會收到差旅津貼。
almost,幾乎,The project is almost finished.,專案幾乎完成了。
alone,單獨,She prefers to travel alone.,她喜歡獨自旅行。
along,沿著,We walked along the river.,我們沿著河邊散步。
alongside,在旁邊、一起,She worked alongside her colleagues on the project.,她和同事一起完成這個專案。
alter,改變,They altered the design to reduce costs.,他們修改設計以降低成本。
alternative,替代方案,We need an alternative plan in case of failure.,我們需要一個替代方案以防失敗。
altogether,完全、總共,There were altogether 50 participants at the event.,活動總共有 50 位參加者。
amazing,驚人的,The view from the mountain was amazing.,山上的景色令人驚嘆。
ambition,抱負、野心,Her ambition is to become a successful entrepreneur.,她的抱負是成為成功的企業家。
ambitious,有野心的,He is an ambitious young lawyer.,他是一位有野心的年輕律師。
amend,修改,They amended the contract after negotiation.,他們在協商後修改了合約。
amendment,修正案,The amendment to the law was passed last year.,法律的修正案去年通過了。
background,背景,She has a strong background in finance.,她有紮實的金融背景。
backup,備份、支援,Always keep a backup of important files.,永遠要保留重要檔案的備份。
backward,向後的、落後的,He took a step backward.,他向後退了一步。
balance,平衡、餘額,He checked his bank balance online.,他在線上查了銀行餘額。
ban,禁止,Smoking is banned in this building.,這棟大樓內禁止吸菸。
band,樂團、帶子,The band will perform at the festival.,樂團將在音樂節上表演。
bankrupt,破產的,The company went bankrupt last year.,公司去年破產了。
bankruptcy,破產,The restaurant declared bankruptcy after the pandemic.,這間餐廳在疫情後宣布破產。
banner,橫幅、旗幟,A banner was hung across the street.,街道上掛了一條橫幅。
bare,赤裸的、基本的,The room had only the bare essentials.,房間裡只有最基本的必需品。
barely,幾乎不、勉強,He barely passed the exam.,他勉強通過了考試。
bargain,討價還價、便宜貨,We found a real bargain at the market.,我們在市場找到了一個超值便宜貨。
barrier,障礙,Language was the biggest barrier during the trip.,語言是旅途中最大的障礙。
base,基礎、根據地,The company’s main base is in Tokyo.,公司的主要基地在東京。
basic,基本的,Basic computer skills are required for this job.,這份工作需要基本的電腦技能。
basically,基本上,"Basically, the system works like this.",基本上，系統是這樣運作的。
basis,基礎、依據,Decisions were made on a daily basis.,決策是以每日為基礎作出的。
battle,戰鬥、奮鬥,They are fighting a legal battle.,他們正在進行一場法律戰。
bay,海灣,The hotel overlooks a beautiful bay.,這間飯店可以俯瞰美麗的海灣。
beak,鳥喙,The bird used its beak to break the shell.,那隻鳥用鳥喙啄開了殼。
bear,承受、熊,He can’t bear the pressure anymore.,他再也承受不了壓力。
beard,鬍鬚,He decided to shave his beard.,他決定刮掉鬍鬚。
beat,打敗、拍打,Our team beat the champions last night.,我們的隊伍昨晚擊敗了冠軍隊。
beautiful,美麗的,She wore a beautiful dress to the party.,她穿了一件漂亮的洋裝參加派對。
beauty,美貌,The natural beauty of the island attracts many tourists.,島上的自然美景吸引了許多遊客。
because,因為,The flight was delayed because of bad weather.,航班因天氣惡劣而延誤。
become,成為,He became the CEO at age 35.,他在 35 歲時成為執行長。
bed,床,The hotel room has a king-size bed.,這間飯店房間有一張特大床。
bedroom,臥室,Their house has three bedrooms.,他們的房子有三間臥室。
bee,蜜蜂,A bee landed on the flower.,一隻蜜蜂停在花上。
beef,牛肉,She ordered a beef steak for dinner.,她點了一份牛排當晚餐。
before,在…之前,Please wash your hands before eating.,吃飯前請洗手。
begin,開始,The meeting will begin at 10 a.m.,會議將於上午 10 點開始。
beginning,開始、起點,This is just the beginning of the project.,這只是專案的開始。
behave,表現、舉止,Children should behave politely.,孩子應該有禮貌地表現。
behavior,行為,The manager criticized his rude behavior.,經理批評了他粗魯的行為。
behind,在…後面,The park is just behind the library.,公園就在圖書館後面。
being,存在、生物,Human beings need food and water.,人類需要食物和水。
belief,信念,She has a strong belief in teamwork.,她對團隊合作有強烈的信念。
believe,相信,I believe he is telling the truth.,我相信他說的是真話。
bell,鈴鐺,The school bell rang at 8 a.m.,學校的鐘在早上八點響了。
belong,屬於,This book belongs to my sister.,這本書是我妹妹的。
below,在…下面,The temperature fell below zero.,氣溫降到零度以下。
belt,皮帶,He bought a new leather belt.,他買了一條新的皮帶。
bench,長椅,They sat on a bench in the park.,他們坐在公園的長椅上。
benefit,好處、利益,Regular exercise has many health benefits.,規律運動有很多健康益處。
besides,除了…之外,"Besides English, she speaks Japanese.",除了英文，她還會說日文。
best,最好的,He is my best friend.,他是我最好的朋友。
bet,打賭,He bet $100 on the game.,他在這場比賽上押了 100 美元。
better,更好的,The new system is better than the old one.,新系統比舊的更好。
beyond,超過、在…之外,The problem is beyond my control.,這個問題超出了我的掌控範圍。
bicycle,腳踏車,She rides her bicycle to work every day.,她每天騎腳踏車上班。
bid,投標、出價,The company placed a bid for the new project.,這家公司對新專案提出了投標。
big,大的,They live in a big house near the park.,他們住在公園旁的一棟大房子裡。
bill,帳單、法案,The electricity bill is due tomorrow.,電費帳單明天到期。
billion,十億,The company made over one billion dollars in profit.,公司獲利超過十億美元。
bind,綁、約束,The contract will bind both parties legally.,這份合約將對雙方有法律約束力。
biological,生物的,He is studying biological sciences.,他正在學習生物科學。
bird,鳥,A bird is singing outside the window.,一隻鳥在窗外唱歌。
birth,出生,She gave birth to a baby boy yesterday.,她昨天生了一個男嬰。
birthday,生日,We threw a party for her birthday.,我們為她辦了一場生日派對。
biscuit,餅乾,He had a cup of tea and some biscuits.,他喝了一杯茶並吃了一些餅乾。
bit,一點、位元,Could you wait a bit longer?,你可以再等一下嗎？
bite,咬,The dog bit my shoe.,那隻狗咬了我的鞋子。
bitter,苦的、痛苦的,The medicine tastes bitter.,這藥嘗起來很苦。
black,黑色的,He wore a black suit to the interview.,他穿著黑色西裝去面試。
blame,責怪,Don’t blame others for your mistakes.,不要因為自己的錯誤而責怪別人。
blank,空白的,Please fill in the blank spaces on the form.,請把表格上的空格填好。
blanket,毯子,She covered the baby with a warm blanket.,她用一條暖和的毯子蓋住嬰兒。
blind,盲的、百葉窗,The accident left him blind in one eye.,這場事故讓他失去一隻眼的視力。
block,阻塞、街區,A truck blocked the road.,一輛卡車擋住了道路。
blood,血液,The nurse took a blood sample.,護士抽取了血液樣本。
bloom,開花,The flowers bloom in spring.,花在春天綻放。
blow,吹、打擊,The wind is blowing hard today.,今天風很大。
board,董事會、木板,The board of directors approved the proposal.,董事會批准了這份提案。
boast,自誇、以…自豪,The hotel boasts a beautiful view of the sea.,這家飯店以能欣賞美麗海景而自豪。
body,身體、主體,Exercise is good for the body.,運動對身體有好處。
boil,煮沸,Please boil the water before drinking.,請把水煮開再喝。
bold,勇敢的、大膽的,He made a bold decision to start his own business.,他勇敢地決定創業。
bond,債券、關係,The company issued corporate bonds.,這家公司發行了公司債。
bone,骨頭,He broke a bone in his arm.,他的手臂骨折了。
book,書、預訂,I booked a table at the restaurant.,我在餐廳訂了一張桌子。
boom,繁榮、激增,The tech industry is booming.,科技產業正在蓬勃發展。
boost,促進、提高,The ad campaign boosted sales significantly.,廣告活動大幅提升了銷售。
border,邊界,They crossed the border into Canada.,他們越過邊境進入加拿大。
bore,使厭煩,The lecture bored the students.,這堂課讓學生覺得無聊。
boring,無聊的,The movie was boring and too long.,這部電影既無聊又太長。
borrow,借,Can I borrow your pen?,我可以借你的筆嗎？
boss,老闆,My boss approved my vacation request.,我的老闆批准了我的休假申請。
both,兩者,Both teams played very well.,兩隊都表現得很好。
bother,打擾、麻煩,"Sorry to bother you, but can I ask a question?",抱歉打擾你，但我可以問個問題嗎？
bottle,瓶子,She bought a bottle of water.,她買了一瓶水。
bottom,底部,The keys were at the bottom of the bag.,鑰匙在包包的底部。
bounce,彈跳,The ball bounced off the wall.,球從牆上彈回來。
bound,界線、有義務的,They are bound by the terms of the contract.,他們受合約條款的約束。
boundary,邊界、界線,The river forms the boundary between the two countries.,這條河構成兩國的邊界。
bowl,碗,She ate soup from a big bowl.,她用一個大碗喝湯。
box,盒子、箱子,The shoes came in a large box.,鞋子裝在一個大箱子裡。
boycott,抵制,They decided to boycott the company’s products.,他們決定抵制這家公司的產品。
brain,腦,Exercise is good for the brain.,運動對大腦有好處。
branch,分行、樹枝,The bank has a branch in every city.,這家銀行在每個城市都有分行。
brand,品牌,Nike is a well-known sportswear brand.,耐吉是知名的運動服飾品牌。
brave,勇敢的,She made a brave decision to start her own business.,她勇敢地決定創業。
breach,違反、破壞,He was fined for breach of contract.,他因違反合約而被罰款。
bread,麵包,She bought a loaf of bread at the bakery.,她在麵包店買了一條麵包。
break,打破、休息,Let’s take a short break.,我們休息一下吧。
breakthrough,突破,The new drug is a breakthrough in cancer treatment.,這種新藥是癌症治療上的突破。
breakfast,早餐,I usually eat eggs for breakfast.,我通常早餐吃雞蛋。
breathe,呼吸,It’s hard to breathe in this smoke.,在這煙霧中很難呼吸。
breed,繁殖、品種,This farm breeds cattle for milk.,這個農場飼養牛隻以生產牛奶。
brick,磚頭,The house was built with red bricks.,這棟房子是用紅磚建造的。
bride,新娘,The bride looked beautiful in her white dress.,新娘穿著白色禮服看起來很美。
bridge,橋樑,They crossed the bridge over the river.,他們走過了河上的橋。
brief,簡短的,He gave a brief introduction of the project.,他簡短介紹了這個專案。
briefly,簡短地,She briefly explained the rules.,她簡單地解釋了規則。
bright,明亮的、聰明的,The classroom is bright and spacious.,教室明亮又寬敞。
brilliant,聰明的、出色的,She is a brilliant scientist.,她是一位傑出的科學家。
bring,帶來,Please bring your passport to the airport.,請帶護照去機場。
broad,寬的、廣泛的,He has a broad knowledge of history.,他有廣博的歷史知識。
broadcast,廣播、播放,The match will be broadcast live on TV.,這場比賽將在電視上直播。
brochure,小冊子,Please take a brochure for more details.,請拿一份小冊子了解更多細節。
broken,壞掉的、破碎的,The window is broken and needs repair.,窗戶壞了需要修理。
broker,經紀人,He works as a real estate broker.,他是一位房地產經紀人。
bronze,青銅、銅牌,She won a bronze medal in the competition.,她在比賽中獲得銅牌。
brother,兄弟,My brother lives in Canada.,我的兄弟住在加拿大。
brown,棕色的,She has brown eyes.,她有一雙棕色的眼睛。
brush,刷子、刷,Don’t forget to brush your teeth.,別忘了刷牙。
brutal,殘忍的,The movie showed a brutal war scene.,這部電影展示了一個殘忍的戰爭場景。
bubble,泡泡,Children love to play with soap bubbles.,小孩喜歡玩肥皂泡泡。
budget,預算,The budget for the project was approved.,這個專案的預算已經批准。
build,建造,They plan to build a new office downtown.,他們計劃在市中心建一棟新辦公室。
building,建築物,That tall building is our company’s headquarters.,那棟高樓是我們公司的總部。
bullet,子彈,The police found several bullets at the scene.,警方在現場發現了數顆子彈。
bunch,一串、一束,He gave her a bunch of flowers.,他送了她一束花。
burden,負擔,Financial problems can be a heavy burden.,財務問題可能是一種沉重的負擔。
bureau,局、辦公室,He works for the tourism bureau.,他在觀光局工作。
burglar,竊賊,The burglar broke into the house at night.,竊賊晚上闖入了房子。
burn,燒、燃燒,The fire burned all night.,火整晚都在燃燒。
burst,爆炸、突然發生,The balloon burst when it hit the tree.,氣球碰到樹時爆裂了。
bury,埋葬,They buried the treasure under a tree.,他們把寶藏埋在一棵樹下。
bus,公車,I take the bus to work every day.,我每天搭公車上班。
bush,灌木,The rabbit hid behind a bush.,兔子躲在一棵灌木後面。
business,商業、公司,He runs a successful business.,他經營一家成功的公司。
businessman,商人,The businessman invested in real estate.,那位商人投資房地產。
busy,忙碌的,She is busy preparing for the meeting.,她正忙著準備會議。
butcher,屠夫,The butcher sold fresh meat at the market.,那位屠夫在市場賣新鮮的肉。
butter,奶油,She spread butter on her bread.,她在麵包上塗奶油。
button,按鈕,Press the button to start the machine.,按下按鈕啟動機器。
buy,買,He bought a new laptop yesterday.,他昨天買了一台新筆電。
buyer,買家,The buyers were satisfied with the product.,買家對產品感到滿意。
bystander,旁觀者,Several bystanders witnessed the accident.,幾名旁觀者目擊了事故。
cabin,小屋、船艙,The passengers returned to their cabins after dinner.,乘客們晚餐後回到自己的船艙。
cabinet,櫥櫃、內閣,The files are stored in the cabinet.,文件被存放在櫥櫃裡。
cable,電纜、有線電視,The cable company offers high-speed internet.,這家有線電視公司提供高速網路。
cafe,咖啡館,We met at a small cafe downtown.,我們在市中心的一家小咖啡館見面。
cafeteria,自助餐廳,The company has a large cafeteria for employees.,公司有一個很大的員工自助餐廳。
calculate,計算,He quickly calculated the total cost.,他很快算出總費用。
calculation,計算、估算,"According to her calculation, we need more time.",根據她的計算，我們需要更多時間。
calendar,日曆、行事曆,Please check the calendar for the meeting date.,請查看日曆確認會議日期。
call,打電話、呼叫,She called me last night.,她昨晚打電話給我。
calm,冷靜的、使平靜,He remained calm during the emergency.,在緊急情況下他保持冷靜。
camera,相機,I bought a new digital camera.,我買了一台新的數位相機。
camp,露營、營地,We set up camp near the lake.,我們在湖邊紮營。
campaign,活動、運動,The marketing campaign was very successful.,這次行銷活動非常成功。
campus,校園,The university campus is very large.,這所大學的校園很大。
can,罐頭、能,She opened a can of soup.,她打開了一罐湯。
cancel,取消,The meeting was canceled due to bad weather.,會議因天氣惡劣而取消。
cancellation,取消,The flight cancellation upset many passengers.,航班取消讓許多乘客不滿。
candidate,候選人,She is a strong candidate for the position.,她是這個職位的有力候選人。
candle,蠟燭,She lit a candle during the power outage.,停電時她點了一根蠟燭。
candy,糖果,The children received candy on Halloween.,孩子們在萬聖節收到糖果。
cap,帽子、蓋子,He wore a baseball cap.,他戴著一頂棒球帽。
capable,有能力的,She is capable of handling the project.,她有能力處理這個專案。
capacity,容量、能力,The theater has a seating capacity of 500.,這間劇院有 500 個座位容量。
capital,首都、資本,Taipei is the capital of Taiwan.,台北是台灣的首都。
capitalism,資本主義,Capitalism encourages competition in markets.,資本主義鼓勵市場競爭。
captain,船長、隊長,The captain welcomed everyone aboard.,船長歡迎所有人登船。
capture,捕捉、佔領,The photographer captured a beautiful moment.,攝影師捕捉到一個美麗瞬間。
car,車子,He bought a new car last week.,他上週買了一輛新車。
carbon,碳,Carbon emissions are harmful to the environment.,碳排放對環境有害。
card,卡片,He paid the bill with his credit card.,他用信用卡付帳。
career,職業、生涯,She is starting a career in medicine.,她正開始醫學方面的職業生涯。
careful,小心的,Be careful when crossing the street.,過馬路時要小心。
careless,粗心的,His careless mistake caused a delay.,他的粗心錯誤造成了延誤。
cargo,貨物,The ship carried a large amount of cargo.,這艘船載了大量貨物。
carpet,地毯,They bought a new carpet for the living room.,他們為客廳買了一張新地毯。
carriage,馬車、車廂,The bride arrived in a horse-drawn carriage.,新娘乘著馬車抵達。
carry,搬運、攜帶,She carried a heavy box upstairs.,她把一個沉重的箱子搬上樓。
cartoon,卡通,The children love watching cartoons.,孩子們喜歡看卡通。
carve,雕刻,The artist carved a statue out of wood.,藝術家用木頭雕刻了一尊雕像。
case,案件、情況,This is a special case that needs attention.,這是一個需要注意的特殊案件。
cash,現金,Do you prefer to pay by cash or card?,你喜歡用現金還是信用卡付款？
cashier,出納員,The cashier gave me the wrong change.,出納員找錯錢給我。
casino,賭場,They spent the night at a casino in Las Vegas.,他們在拉斯維加斯的賭場過夜。
cast,投、演員陣容,The director cast her in the leading role.,導演安排她演主角。
castle,城堡,The old castle attracts many tourists.,這座古老的城堡吸引了許多遊客。
casual,隨意的、休閒的,The office has a casual dress code.,這家公司有休閒的服裝規範。
casualty,傷亡者,The accident caused several casualties.,這起事故造成數人傷亡。
cat,貓,She adopted a stray cat.,她領養了一隻流浪貓。
catalog,目錄,The company sent me a product catalog.,公司寄給我一份產品目錄。
catch,抓住,He managed to catch the train in time.,他及時趕上了火車。
category,類別,Please choose a category from the list.,請從清單中選擇一個類別。
cater,提供飲食服務,The restaurant caters for weddings and parties.,這間餐廳提供婚禮和派對的餐飲服務。
cattle,牛群,The farmer raises cattle for beef.,農夫飼養牛群來供應牛肉。
cause,原因、導致,The heavy rain caused flooding in the city.,大雨導致城市淹水。
cautious,謹慎的,Investors are cautious about the stock market.,投資人對股市保持謹慎。
cave,洞穴,They explored a dark cave.,他們探險了一個黑暗的洞穴。
cease,停止,The company decided to cease operations.,公司決定停止營運。
celebrate,慶祝,They celebrated their wedding anniversary at a restaurant.,他們在餐廳慶祝結婚紀念日。
celebration,慶祝活動,The city held a celebration for the holiday.,城市舉辦了節日慶祝活動。
celebrity,名人,The celebrity attended the charity event.,那位名人參加了慈善活動。
cell,細胞、牢房、手機,He was kept in a prison cell.,他被關在監獄牢房裡。
cellphone,手機,I forgot my cellphone at home.,我把手機忘在家裡了。
cellar,地窖,The wine is stored in the cellar.,酒被存放在地窖裡。
cement,水泥,They used cement to build the wall.,他們用水泥建造了牆。
cemetery,墓地,The cemetery is located on a hill.,墓地位於山坡上。
cent,分（貨幣單位）,The candy costs fifty cents.,這糖果要價五十美分。
center,中心,The shopping center is very crowded.,購物中心非常擁擠。
central,中心的、主要的,The central office is in New York.,總部設在紐約。
century,世紀,The internet is the invention of the 20th century.,網際網路是 20 世紀的發明。
cereal,穀物、麥片,She eats cereal for breakfast.,她早餐吃麥片。
certain,確定的、某些,I’m certain that he will succeed.,我確定他會成功。
certificate,證書,He received a certificate for completing the course.,他獲得了課程結業證書。
certify,證明,The document was certified by a lawyer.,文件經律師認證。
chain,鏈條、連鎖店,That hotel chain has branches worldwide.,那家連鎖飯店在全球都有分店。
chair,椅子,She sat on a wooden chair.,她坐在一張木椅上。
chairman,主席,The chairman opened the annual meeting.,主席主持了年度會議。
challenge,挑戰,Starting a new business is a big challenge.,創業是一個很大的挑戰。
challenging,具挑戰性的,It is a challenging but rewarding job.,這是一份有挑戰性但很有成就感的工作。
chamber,房間、議院,The queen entered her private chamber.,女王進入了她的私人房間。
chance,機會,This job is a great chance for career growth.,這份工作是職涯發展的好機會。
change,改變、零錢,She changed her hairstyle last week.,她上週換了髮型。
channel,頻道、管道,The news channel reported the event.,新聞頻道報導了這件事。
chaos,混亂,The strike caused chaos in the city.,罷工導致城市陷入混亂。
chapter,章節、篇章,Please read the first chapter of the book.,請閱讀書的第一章。
character,性格、角色,She has a kind character.,她性格善良。
characteristic,特徵,Patience is a characteristic of a good teacher.,耐心是好老師的特徵。
charge,收費、控告,The hotel charges $200 per night.,這間飯店每晚收費 200 美元。
charity,慈善,The company donated money to a charity.,公司捐款給慈善機構。
charm,魅力、符咒,Her charm won everyone’s heart.,她的魅力征服了大家。
charming,迷人的,The village is very charming.,這個村莊非常迷人。
chart,圖表,The sales chart shows steady growth.,銷售圖表顯示穩定成長。
chase,追逐,The dog chased the ball.,狗追著球跑。
chat,聊天,We chatted about our weekend plans.,我們聊了週末的計畫。
cheap,便宜的,These shoes are cheap but comfortable.,這雙鞋便宜但很舒服。
cheat,欺騙、作弊,He cheated on the exam.,他在考試中作弊。
check,檢查、支票,Please check your email for updates.,請檢查你的電子郵件以獲取更新。
cheek,臉頰,She kissed him on the cheek.,她親了他的臉頰一下。
cheerful,開朗的,She is always cheerful at work.,她在工作中總是很開朗。
cheese,起司,He ordered a cheese sandwich.,他點了一份起司三明治。
chef,主廚,The chef prepared a delicious meal.,主廚準備了一頓美味的餐點。
chemical,化學的,The factory produces chemical products.,這間工廠生產化學產品。
chemist,藥劑師、化學家,She works as a chemist in a pharmacy.,她在藥局擔任藥劑師。
chemistry,化學,He is studying chemistry at university.,他在大學主修化學。
chest,胸部、櫃子,He felt pain in his chest after running.,他跑步後感到胸口疼痛。
chicken,雞、雞肉,We had fried chicken for dinner.,我們晚餐吃了炸雞。
chief,首領、主要的,The chief engineer explained the design.,總工程師解釋了設計。
child,孩子,The child is playing in the park.,小孩正在公園裡玩耍。
childhood,童年,She spent her childhood in the countryside.,她在鄉下度過童年。
chip,晶片、碎片,The computer uses the latest chip technology.,這台電腦使用最新的晶片技術。
chocolate,巧克力,He gave her a box of chocolates.,他送給她一盒巧克力。
choice,選擇,You have a choice between tea and coffee.,你可以選擇茶或咖啡。
choose,選擇,She chose the red dress for the party.,她為派對選了紅色的洋裝。
chop,砍、切,He chopped the wood into small pieces.,他把木頭劈成小塊。
church,教堂,The wedding was held in a church.,婚禮在教堂舉行。
cigar,雪茄,He lit a cigar after dinner.,他晚餐後點了一支雪茄。
cigarette,香菸,Smoking cigarettes is harmful to health.,抽菸對健康有害。
cinema,電影院,We went to the cinema to watch a movie.,我們去電影院看電影。
circle,圓、圈子,Draw a circle on the paper.,在紙上畫一個圓。
circuit,電路、巡迴,The engineer repaired the broken circuit.,工程師修理了故障的電路。
circumstance,情況、環境,"Under these circumstances, we must delay the meeting.",在這種情況下，我們必須延後會議。
cite,引用,The professor cited several examples.,教授引用了幾個例子。
citizen,公民,Every citizen has the right to vote.,每位公民都有投票權。
city,城市,Taipei is a modern city.,台北是一座現代化城市。
civil,公民的、民事的,They reached a civil agreement.,他們達成了一項民事協議。
civilian,平民,Civilians were evacuated from the war zone.,平民被撤離戰區。
claim,聲稱、要求,He claimed that the product was defective.,他聲稱該產品有瑕疵。
clarify,澄清,The manager clarified the company’s policy.,經理澄清了公司的政策。
clarity,清晰、明確,The clarity of the report impressed the board.,報告的清晰度讓董事會印象深刻。
clash,衝突,The two groups clashed during the protest.,兩個團體在抗議中發生衝突。
class,班級、課程,She is taking an English class.,她正在上英文課。
classic,經典的,That movie is a classic.,那部電影是經典之作。
classical,古典的,He loves classical music.,他熱愛古典音樂。
classification,分類,The library uses a classification system for books.,圖書館使用分類系統管理書籍。
classify,分類,The files are classified by date.,文件是依日期分類的。
